Neighbourhood,Latitude,Longitude,
Parkwoods,43.753259,-79.329656,
Victoria Village,43.725882,-79.315572,
"Regent Park, Harbourfront",43.65426,-79.360636,
"Lawrence Manor, Lawrence Heights",43.718518,-79.464763,
"Queen's Park, Ontario Provincial Government",43.662301,-79.389494,
"Islington Avenue, Humber Valley Village",43.667856,-79.532242,
"Malvern, Rouge",43.806686,-79.194353,
Don Mills,43.745906,-79.352188,
"Parkview Hill, Woodbine Gardens",43.706397,-79.309937,
"Garden District, Ryerson",43.657162,-79.378937,
Glencairn,43.709577,-79.445073,
"West Deane Park, Princess Gardens, Martin Grov...",43.650943,-79.554724,
"Rouge Hill, Port Union, Highland Creek",43.784535,-79.160497,
Don Mills,43.7259,-79.340923,
Woodbine Heights,43.695344,-79.318389,
St. James Town,43.651494,-79.375418,
Humewood-Cedarvale,43.693781,-79.428191,
"Eringate, Bloordale Gardens, Old Burnhamthorpe...",43.643515,-79.577201,
"Guildwood, Morningside, West Hill",43.763573,-79.188711,
The Beaches,43.676357,-79.293031,
Berczy Park,43.644771,-79.373306,
Caledonia-Fairbanks,43.689026,-79.453512,
Woburn,43.770992,-79.216917,
Leaside,43.70906,-79.363452,
Central Bay Street,43.657952,-79.387383,
Christie,43.669542,-79.422564,
Cedarbrae,43.773136,-79.239476,
Hillcrest Village,43.803762,-79.363452,
"Bathurst Manor, Wilson Heights, Downsview North",43.754328,-79.442259,
Thorncliffe Park,43.705369,-79.349372,
"Richmond, Adelaide, King",43.650571,-79.384568,
"Dufferin, Dovercourt Village",43.669005,-79.442259,
Scarborough Village,43.744734,-79.239476,
"Fairview, Henry Farm, Oriole",43.778517,-79.346556,
"Northwood Park, York University",43.76798,-79.487262,
"East Toronto, Broadview North (Old East York)",43.685347,-79.338106,
"Harbourfront East, Union Station, Toronto Islands",43.640816,-79.381752,
"Little Portugal, Trinity",43.647927,-79.41975,
"Kennedy Park, Ionview, East Birchmount Park",43.727929,-79.262029,
Bayview Village,43.786947,-79.385975,
Downsview,43.737473,-79.464763,
"The Danforth West, Riverdale",43.679557,-79.352188,
"Toronto Dominion Centre, Design Exchange",43.647177,-79.381576,
"Brockton, Parkdale Village, Exhibition Place",43.636847,-79.428191,
"Golden Mile, Clairlea, Oakridge",43.711112,-79.284577,
"York Mills, Silver Hills",43.75749,-79.374714,
Downsview,43.739015,-79.506944,
"India Bazaar, The Beaches West",43.668999,-79.315572,
"Commerce Court, Victoria Hotel",43.648198,-79.379817,
"North Park, Maple Leaf Park, Upwood Park",43.713756,-79.490074,
Humber Summit,43.756303,-79.565963,
"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.239476,
"Willowdale, Newtonbrook",43.789053,-79.408493,
Downsview,43.728496,-79.495697,
Studio District,43.659526,-79.340923,
"Bedford Park, Lawrence Manor East",43.733283,-79.41975,
"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.691116,-79.476013,
"Humberlea, Emery",43.724766,-79.532242,
"Birch Cliff, Cliffside West",43.692657,-79.264848,
"Willowdale, Willowdale East",43.77012,-79.408493,
Downsview,43.761631,-79.520999,
Lawrence Park,43.72802,-79.38879,
Roselawn,43.711695,-79.416936,
"Runnymede, The Junction North",43.673185,-79.487262,
Weston,43.706876,-79.518188,
"Dorset Park, Wexford Heights, Scarborough Town...",43.75741,-79.273304,
York Mills West,43.752758,-79.400049,
Davisville North,43.712751,-79.390197,
"Forest Hill North & West, Forest Hill Road Park",43.696948,-79.411307,
"High Park, The Junction South",43.661608,-79.464763,
Westmount,43.696319,-79.532242,
"Wexford, Maryvale",43.750071,-79.295849,
"Willowdale, Willowdale West",43.782736,-79.442259,
"North Toronto West, Lawrence Park",43.715383,-79.405678,
"The Annex, North Midtown, Yorkville",43.67271,-79.405678,
"Parkdale, Roncesvalles",43.64896,-79.456325,
Canada Post Gateway Processing Centre,43.636966,-79.615819,
"Kingsview Village, St. Phillips, Martin Grove ...",43.688905,-79.554724,
Agincourt,43.7942,-79.262029,
Davisville,43.704324,-79.38879,
"University of Toronto, Harbord",43.662696,-79.400049,
"Runnymede, Swansea",43.651571,-79.48445,
"Clarks Corners, Tam O'Shanter, Sullivan",43.781638,-79.304302,
"Moore Park, Summerhill East",43.689574,-79.38316,
"Kensington Market, Chinatown, Grange Park",43.653206,-79.400049,
"Milliken, Agincourt North, Steeles East, L'Amo...",43.815252,-79.284577,
"Summerhill West, Rathnelly, South Hill, Forest...",43.686412,-79.400049,
"CN Tower, King and Spadina, Railway Lands, Har...",43.628947,-79.39442,
"New Toronto, Mimico South, Humber Bay Shores",43.605647,-79.501321,
"South Steeles, Silverstone, Humbergate, Jamest...",43.739416,-79.588437,
"Steeles West, L'Amoreaux West",43.799525,-79.318389,
Rosedale,43.679563,-79.377529,
Stn A PO Boxes,43.646435,-79.374846,
"Alderwood, Long Branch",43.602414,-79.543484,
"Northwest, West Humber - Clairville",43.706748,-79.594054,
Upper Rouge,43.836125,-79.205636,
"St. James Town, Cabbagetown",43.667967,-79.367675,
"First Canadian Place, Underground city",43.648429,-79.38228,
"The Kingsway, Montgomery Road, Old Mill North",43.653654,-79.506944,
Church and Wellesley,43.66586,-79.38316,
"Business reply mail Processing Centre, South C...",43.662744,-79.321558,
"Old Mill South, King's Mill Park, Sunnylea, Hu...",43.636258,-79.498509,
"Mimico NW, The Queensway West, South of Bloor,...",43.628841,-79.520999,
Lake Shore Blvd,43.630572,-79.419629,
Gardiner Expy,43.63656654,79.41595976,
Front St W,43.64051512,-79.38842307,
,,,
,,,
,,,
,,,
,,,
,,,
