Neighbourhood,VenueName,VenueLatitude,VenueLongitude,VenueCategory
Central Bay Street,Tim Hortons,43.657399,-79.388313,Coffee Shop
Central Bay Street,Starbucks,43.658204,-79.388998,Coffee Shop
Central Bay Street,Booster Juice,43.658657,-79.388682,Smoothie Shop
Central Bay Street,Subway,43.65738,-79.387432,Sandwich Place
Central Bay Street,Shoppers Drug Mart,43.657566,-79.388477,Pharmacy
Central Bay Street,Tim Hortons,43.657553,-79.388534,Coffee Shop
Central Bay Street,Tim Hortons,43.658906,-79.388696,Coffee Shop
Gardiner Expy,Coca-Cola Coliseum,43.635629,-79.41503,Hockey Arena
Gardiner Expy,Smoke's Poutinerie,43.636029,-79.415059,Poutine Place
Front St W,WestJet Flight Deck,43.641038,-79.389092,Baseball Stadium
Front St W,The Rec Room,43.64111,-79.386763,Bar
Front St W,TD Comfort Zone,43.641446,-79.389139,Baseball Field
Front St W,"Founder's Club, Rogers Centre",43.640139,-79.390145,Baseball Stadium
