Team,Venue,Address,Latitude,Longitude
New York Yankees ,Yankee Stadium ,"1 E 161 St, The Bronx, NY 10451, United States ",40.829659,-73.926186
New York Giants,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073, United States ",40.8137256196,-74.073824001
New York Rangers ,Madison Square Garden ,"4 Pennsylvania Plaza, New York, NY 10001, United States",40.7507401152,-73.9940054066
New York Knicks,Madison Square Garden ,"4 Pennsylvania Plaza, New York, NY 10001, United States",40.7507401152,-73.9940054066
New York Jets ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073, United States ",40.8137256196,-74.073824001
New York Mets,Citi Field ,"41 Seaver Way, Queens, NY 11368, United States ",40.7572745983,-73.8454565219
Brooklyn Nets ,Barclays Center ,"620 Atlantic Ave, Brooklyn, NY 11217, United States ",40.6828580155,-73.9751688391
New York Islanders ,Barclays Center Nassau Coliseum ,"620 Atlantic Ave, Brooklyn, NY 11217, United States ",40.6828580155,-73.9751688391
New Jersey Devils ,Prudential Center ,"25 Lafayette St, Newark, NJ 07102, United States",40.7337609836,-72.7648131183
New York Red Bulls ,Red Bull Arena ,"600 Cape May St, Harrison, NJ 07029, United States ",40.737046814,-74.1704969894
New York City FC ,Yankee Stadium ,"1 E 161 St, The Bronx, NY 10451, United States ",40.829659,-73.926186
